2017_11_17 14:11:16.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:17.744 INFO   send: 0110170000050A000100010044000400013BA8
2017_11_17 14:11:17.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:18.744 INFO   send: 0110170000050A000100010048000400026BA8
2017_11_17 14:11:18.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:19.744 INFO   send: 0110170000050A00010001004C000400035BA8
2017_11_17 14:11:19.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:20.744 INFO   send: 0110170000050A000100010050000400010BAB
2017_11_17 14:11:20.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:21.744 INFO   send: 0110170000050A00010001005400040002BA6A
2017_11_17 14:11:21.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:22.744 INFO   send: 0110170000050A000100010058000400036BAB
2017_11_17 14:11:22.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:15.994 INFO   send: 0110170000050A0001000100010001000367A7
2017_11_17 14:12:16.004 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:19.955 INFO   send: 0110170000050A0001000100020001000323A7
2017_11_17 14:12:19.955 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:34.406 INFO   send: 0110170000050A000100010003000100031E67
2017_11_17 14:12:34.406 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:37.056 INFO   send: 0110170000050A00010001000400010003ABA7
2017_11_17 14:12:37.056 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:39.406 INFO   send: 0110170000050A000100010005000100039667
2017_11_17 14:12:39.416 INFO   收到信息: 01101700000505BE
2017_11_17 14:12:42.116 INFO   send: 0110170000050A000100010010000100039BA4
2017_11_17 14:12:42.126 INFO   收到信息: 01101700000505BE
2017_11_17 14:18:13.524 INFO   send: 10101500004C9800010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004ADC
2017_11_17 14:18:21.045 INFO   send: 10101500004C980101FFFFFFFFFFFF1B211B37311B383030301B39321B3A31BDF7C9F7BCDDCABB1B0A1B201B37331B383030301B39311B3A32D7A2D2E2B0B2C8AB00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A690
2017_11_17 14:18:28.165 INFO   send: 10101500004C980101FFFFFFFFFFFF1B211B37311B383030301B39321B3A31BDF7C9F7BCDDCABB1B0D1B201B37331B383030301B39321B3A32D7A2D2E2B0B2C8AB1B363130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CE25
2017_11_17 14:18:29.335 INFO   send: 10101500004C980101FFFFFFFFFFFF1B37311B383030301B39301B3A321B22BDF7C9F7BCDDCABB1B0A1B37331B383030301B39311B3A321B22BDF7C9F7BCDDCABB00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000A634
2017_11_17 14:18:30.375 INFO   send: 10101500004C980101FFFFFFFFFFFF1B37331B383030301B39321B3A321B22BDF7C9F7BCDDCABB1B36313000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004AA6
